Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Kenedy,NEW,MID,49,71.7,130.4,195.0,39.7,7,1,0,0,1,0,0,0,0,1.3,771,0,26
Kenny,EVE,DEF,43,35.1,69.4,7.0,11.1,6,0,1,0,0,0,0,0,0,0.2,360,0,13
Kepa,CHE,GKP,55,0.1,183.0,0.0,18.3,8,0,0,0,0,0,22,0,0,5.5,990,1,45
Ki Sung-yueng,NEW,MID,47,32.7,43.0,18.0,9.4,4,0,1,0,0,0,0,0,0,0.1,233,0,9
Kiko Femenia,WAT,DEF,42,55.8,97.2,20.0,17.2,6,0,1,0,0,0,0,0,0,1.7,414,3,25
King,BOU,FWD,63,149.5,208.6,260.0,61.4,9,4,1,0,0,0,0,1,0,2.6,779,8,44
Klaassen,EVE,MID,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Klavan,LIV,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Knockaert,BHA,MID,55,222.2,182.0,181.0,58.6,14,1,3,0,0,0,0,3,0,1.2,713,1,31
Kolasinac,ARS,DEF,49,17.3,13.8,2.0,3.3,1,0,0,0,0,0,0,0,0,0.3,80,0,2
Kompany,MCI,DEF,52,22.0,80.0,8.0,11.1,2,0,0,0,0,0,0,2,0,1.3,294,0,11
Kongolo,HUD,DEF,43,33.6,103.0,12.0,14.9,14,0,0,1,0,0,0,2,0,0.1,638,0,14
Koscielny,ARS,DEF,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Kouyate,CRY,MID,47,58.0,87.0,56.0,20.2,9,0,1,0,0,0,0,2,0,0.3,463,0,17
Kovacic,CHE,MID,59,155.5,101.2,175.0,43.3,2,0,1,0,0,0,0,1,0,0.8,496,1,21
Lacazette,ARS,FWD,97,169.3,277.0,434.0,87.7,10,5,4,0,0,0,0,1,0,13.8,805,8,58
Lallana,LIV,MID,69,29.0,17.6,46.0,9.2,0,0,0,0,0,0,0,1,0,0.7,131,0,6
Lamela,TOT,MID,64,85.9,178.2,228.0,49.0,4,4,1,0,0,0,0,0,0,1.4,342,4,38
Lanzini,WHU,MID,64,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Laporte,MCI,DEF,59,56.9,226.6,122.0,40.6,4,1,0,0,0,0,0,1,0,11.2,990,1,56
Lascelles,NEW,DEF,48,14.1,211.4,60.0,28.7,10,0,0,0,0,0,0,0,0,3.9,810,5,31
Le Marchand,FUL,DEF,43,20.7,167.4,40.0,23.0,20,0,0,0,0,0,0,1,0,0.2,689,1,7
Lejeune,NEW,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Lemina,SOU,MID,49,98.1,159.0,131.0,38.8,20,0,1,0,0,0,0,4,0,0.2,965,0,25
Lennon,BUR,MID,50,84.3,114.4,102.0,29.9,17,1,1,0,0,0,0,1,0,1.1,862,2,31
Leno,ARS,GKP,48,0.0,97.0,0.0,9.7,5,0,0,0,0,0,12,0,0,1.7,405,0,11
Lerma,BOU,MID,45,45.7,139.6,65.0,25.0,9,0,1,0,0,0,0,4,0,0.4,704,1,20
Lewis Cook,BOU,MID,48,36.6,43.2,26.0,10.7,4,0,0,0,0,0,0,0,0,0.2,432,0,17
Lichtsteiner,ARS,DEF,46,18.7,13.4,3.0,3.5,3,0,0,0,0,0,0,1,0,0.9,160,0,3
Lindegaard,BUR,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Lindelof,MUN,DEF,48,4.6,155.0,9.0,17.0,13,0,0,1,0,0,0,0,0,0.9,808,0,17
Lingard,MUN,MID,67,79.5,30.6,122.0,23.3,5,0,0,0,0,0,0,0,0,1.9,367,0,12
Llorente,TOT,FWD,56,1.9,0.0,6.0,0.6,0,0,0,0,0,0,0,0,0,0.2,13,0,2
Lloris,TOT,GKP,54,0.0,204.0,0.0,20.5,5,0,0,0,0,0,26,0,0,4.2,630,3,33
Locadia,BHA,FWD,53,37.6,9.0,82.0,12.5,3,0,0,0,0,0,0,1,0,0.1,207,0,9
Loftus-Cheek,CHE,MID,52,28.3,47.6,47.0,12.3,0,1,0,0,0,0,0,0,0,0.5,93,0,10
Long,SOU,FWD,48,69.8,45.6,155.0,27.2,12,0,0,0,0,0,0,0,0,1.2,457,0,14
Long,BUR,DEF,42,0.1,33.6,2.0,3.6,1,0,0,0,0,0,0,0,0,0.4,63,0,2
Longstaff,NEW,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Lookman,EVE,MID,51,19.2,28.6,9.0,5.8,0,0,1,0,0,0,0,0,0,0.1,104,0,8
Lovren,LIV,DEF,49,5.3,75.6,6.0,8.7,1,0,0,0,0,0,0,0,0,2.3,270,6,20
Lowton,BUR,DEF,47,54.0,144.4,27.0,22.6,22,0,0,0,0,0,0,4,0,0.3,810,0,13
Lucas,WHU,FWD,62,31.0,10.4,16.0,5.7,2,0,0,0,0,0,0,0,0,0.1,85,0,4
Lucas Moura,TOT,MID,72,227.2,245.0,293.0,76.6,9,4,1,0,0,0,0,2,0,13.5,932,5,53
Lukaku,MUN,FWD,108,145.3,179.4,375.0,70.0,17,4,0,0,0,0,0,1,0,4.9,768,5,38
Lossl,HUD,GKP,44,20.0,186.2,0.0,20.5,12,0,0,0,0,0,20,0,0,1.5,797,2,29
Lowe,HUD,DEF,44,188.5,173.8,50.0,41.2,20,0,2,0,0,0,0,0,0,0.1,875,6,29
Maddison,LEI,MID,69,405.8,261.6,218.0,88.6,15,3,2,0,0,0,0,0,0,13.2,884,3,49
Madine,CAR,FWD,44,1.5,2.0,8.0,1.0,3,0,0,0,0,0,0,0,0,1.1,32,0,5
Maguire,LEI,DEF,55,35.5,307.2,235.0,57.8,16,2,1,0,0,0,0,3,0,14.1,926,6,41
Mahrez,MCI,MID,87,167.3,193.2,298.0,65.8,1,4,0,0,1,0,0,0,0,3.5,499,6,41
Maitland-Niles,ARS,MID,44,10.3,10.8,0.0,2.1,1,0,0,0,0,0,0,0,0,0.3,34,0,1
Malone,HUD,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
Manquillo,NEW,DEF,44,2.1,23.8,0.0,2.6,3,0,0,0,0,0,0,1,0,0.1,145,0,2
Mane,LIV,MID,98,165.7,281.8,366.0,81.3,5,6,0,0,0,0,0,1,0,34.5,880,11,65
March,BHA,MID,50,162.8,121.4,95.0,38.1,14,0,2,0,0,0,0,0,0,0.2,862,1,32
Mariappa,WAT,DEF,42,11.3,63.4,26.0,10.0,1,0,0,0,0,0,0,0,0,0.2,306,0,16
Martial,MUN,MID,75,166.7,221.6,230.0,61.7,10,5,1,0,0,0,0,1,0,9.5,528,11,51
Martina,EVE,DEF,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Martinez,ARS,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Masina,WAT,DEF,43,23.2,59.0,2.0,8.4,0,0,1,0,0,0,0,1,0,0.1,186,1,16
Masuaku,WHU,MID,44,55.0,181.6,14.0,25.1,13,0,0,0,0,0,0,1,0,1.8,720,0,16
Mata,MUN,MID,62,126.8,84.8,67.0,27.9,8,1,1,0,0,0,0,1,0,1.1,465,2,22
Matic,MUN,MID,50,69.6,95.4,58.0,22.3,12,0,0,0,0,0,0,2,1,0.6,690,0,12
Matip,LIV,DEF,49,5.1,57.4,17.0,7.9,1,1,0,0,0,0,0,0,0,0.2,94,3,19
Mavropanos,ARS,DEF,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Mawson,FUL,DEF,49,11.4,81.6,17.0,11.0,8,0,0,0,0,0,0,1,0,0.1,270,0,2
Mbemba,NEW,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Mbenza,HUD,MID,59,17.7,19.4,61.0,9.7,2,0,0,0,0,0,0,1,0,0.0,175,0,7
McArthur,CRY,MID,47,151.5,118.0,96.0,36.4,15,0,1,0,0,0,0,2,0,0.8,905,0,26
McCarthy,SOU,GKP,45,0.0,260.2,0.0,26.1,20,0,0,0,0,0,35,1,0,3.5,990,3,40
McCarthy,EVE,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
McDonald,FUL,MID,44,65.6,65.8,15.0,14.7,20,0,0,0,0,0,0,2,1,0.3,614,0,10
McNeil,BUR,MID,45,38.6,12.8,11.0,6.2,2,0,0,0,0,0,0,1,0,0.0,79,0,1
McQueen,SOU,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
McTominay,MUN,MID,43,4.0,23.0,13.0,4.0,6,0,0,0,0,0,0,0,0,0.7,155,0,5
Medley,ARS,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Mee,BUR,DEF,48,25.8,292.4,47.0,36.5,25,0,1,0,0,0,0,1,0,2.3,990,2,24
Mendez-Laing,CAR,MID,48,1.4,8.0,34.0,4.4,1,0,0,0,0,0,0,0,0,0.0,83,0,4
Mendy,LEI,MID,45,34.6,93.6,20.0,14.9,13,0,1,0,0,0,0,1,0,1.2,810,0,23
Mendy,MCI,DEF,64,206.0,228.6,61.0,49.4,4,0,6,0,0,0,0,1,0,19.6,720,6,55
Merino,NEW,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Meyer,CRY,MID,56,68.8,56.4,123.0,24.5,6,0,1,0,0,0,0,1,0,0.2,272,0,12
Mignolet,LIV,GKP,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Milivojevic,CRY,MID,60,204.2,270.6,134.0,60.8,16,2,0,0,1,0,0,2,0,2.7,990,3,34
Milner,LIV,MID,56,266.3,255.2,114.0,63.8,5,2,2,0,0,0,0,2,0,4.6,769,6,43
Mina,EVE,DEF,54,0.0,0.8,0.0,0.1,0,0,0,0,0,0,0,0,0,0.5,1,0,1
Mings,BOU,DEF,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Mir,WOL,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Mirallas,EVE,MID,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Miranda,WOL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Mitrovic,FUL,FWD,67,120.3,242.2,494.0,85.8,29,5,2,0,0,0,0,4,0,19.4,990,5,49
Mkhitaryan,ARS,MID,67,126.0,102.0,187.0,41.5,10,1,1,0,0,0,0,0,0,5.2,509,2,24
Monreal,ARS,DEF,55,75.1,149.2,161.0,38.5,8,1,1,0,0,0,0,1,0,1.4,630,2,30
Montoya,BHA,DEF,44,84.1,112.0,23.0,21.9,11,0,0,0,0,0,0,1,0,0.1,540,0,6
